Data,n,Resultado,Comp,Lado,TOP,Tipo,Subtipo,Scaling,Tipo Inimigo,En. Scaling,Duração,MVP,MVC,KDA,GD@10,GD@20,GD@F,GT,G/m,Dano,DA/DI,W/m,Fluxo de objetivos (t/v/g/d/b/i/n)
14/09/2025,1,❌ DERROTA,,🟥 RED,Klebão,🔼 Protect,Siege,,,,,,,,,,,,#DIV/0!,,"0,00",#DIV/0!,
13/09/2025,6,❌ DERROTA,,,Klebão,🔪 Pick,Siege,,,,,Conkreto,Syndra,,,,,,#DIV/0!,,"0,00",#DIV/0!,
13/09/2025,5,❌ DERROTA,,,Klebão,🔪 Pick,Siege,,,,,Klebão,Ambessa,,,,,,#DIV/0!,,"0,00",#DIV/0!,
13/09/2025,4,✅ VITÓRIA,,,Klebão,🔀 Split,Protect,,,,,Digo,Senna,,,,,,#DIV/0!,,"0,00",#DIV/0!,
13/09/2025,3,✅ VITÓRIA,Riven - Volibear - Lissandra - Sivir - Thresh | Vladimir - Xin Zhao - Yone - Kai'Sa - Rell,🟥 RED,Klebão,🔀 Split,Protect,,🔪 Pick,,,Digo,Sivir,,,,,,#DIV/0!,,"0,00",#DIV/0!,
13/09/2025,2,❌ DERROTA,Sett - Mordekaiser - Mel - Jhin - Zyra | Tahm Kench - Kayn - Ahri - Ezreal - Soraka,🟥 RED,Klebão,🔀 Split,Siege,,🔼 Protect,,32,Conkreto,Mel,,,,,,0,,"0,00","2,5",
13/09/2025,1,✅ VITÓRIA,Poppy - Jarvan IV - Viktor - Jhin - Zyra | Aatrox - Jax - Hwei - Caitlyn - Milio,🟥 RED,Klebão,🌀 Siege,,,🔀 Split,,39,Conkreto,Viktor,,,,,,0,,"0,00","2,0",
12/09/2025,8,✅ VITÓRIA,Darius - Nocturne - Malzahar - Ashe - Lulu | Irelia - Gwen - Blitzcrank - Sivir - Nami,🟥 RED,Klebão,🔪 Pick,,,🔀 Split,,,Conkreto,Malzahar,,,,,,#DIV/0!,,"0,00",#DIV/0!,
12/09/2025,7,❌ DERROTA,Lissandra - Xin Zhao - Pantheon - Caitlyn - Nami | Yorick - Teemo - Galio - Miss Fortune - Thresh,🟦 BLU,Klebão,🔪 Pick,,,🔀 Split,,,Digo,Caitlyn,,,,,,#DIV/0!,,"0,00",#DIV/0!,
12/09/2025,6,❌ DERROTA,Volibear - Lillia - Lissandra - Tristana - Nautilus | Kayn - Udyr - Sivir - Varus - Brand,🟦 BLU,Klebão,💥 Engage,Protect,,,,,GdN,Lillia,,,,,,#DIV/0!,,"0,00",#DIV/0!,
12/09/2025,5,✅ VITÓRIA,Lissandra - Zac - Pantheon - Varus - Leona | Teemo - Nunu e Willump - Irelia - Ezreal - Zilean,🟦 BLU,Klebão,💥 Engage,Siege,🟡🟡🟡,🔀 Split,🟡🟡🟡,,GdN,Zac,,,,,,#DIV/0!,,"0,00",#DIV/0!,
12/09/2025,4,❌ DERROTA,Gnar - Diana - Hwei - Tristana - Milio | Teemo - Trundle - Ziggs - Vayne - Nami,🟥 RED,Klebão,🔼 Protect,Engage,,🔼 Protect,,,GdN,Diana,,,,,,#DIV/0!,,"0,00",#DIV/0!,
12/09/2025,3,✅ VITÓRIA,Malphite - Jarvan IV - Viktor - Jhin - Zyra | Aatrox - Zed - Gragas - Kog'Maw - Ezreal,🟦 BLU,Klebão,🌀 Siege,Engage,🟡🟡🟡,🔀 Split,,,Conkreto,Viktor,,,,,,#DIV/0!,,"0,00",#DIV/0!,
12/09/2025,2,✅ VITÓRIA,Fiora - Trundle - Malzahar - Twitch - Leona | Yorick - Xin Zhao - Yone - Jinx - Blitzcrank,🟦 BLU,Klebão,🔀 Split,Protect,🔴🟡🟢,🔀 Split,🟡🟡🟡,22,GdN,Trundle,,,,,,0,,"0,00","3,6",
12/09/2025,1,❌ DERROTA,Jax - Dr. Mundo - Annie - Twitch - Rakan | Trundle - Zed - Ziggs - Miss Fortune - Morgana,🟦 BLU,Klebão,🔀 Split,Protect,🔴🟡🟢,🌀 Siege,🟡🟡🟡,28,GdN,Dr. Mundo,,,,,,0,,"0,00","2,8",
11/09/2025,4,❌ DERROTA,Ornn - Jax - Syndra - Varus - Amumu | Jayce - Gragas - Yasuo - Hwei - Xerath,🟥 RED,,💥 Engage,,,🌀 Siege,,,Conkreto,Syndra,,,,,,#DIV/0!,,"0,00",#DIV/0!,
11/09/2025,3,✅ VITÓRIA,Sion - Xin Zhao - Syndra - Jinx - Nami | Illaoi - Naafiri - Malzahar - Ashe - Yuumi,🟥 RED,,🔼 Protect,,,🔀 Split,,,Conkreto,Syndra,,,,,,#DIV/0!,,"0,00",#DIV/0!,
11/09/2025,2,❌ DERROTA,Irelia - Trundle - Syndra - Jinx - Nautilus | Renekton - Volibear - Brand - Twitch - Renata Glasc,🟦 BLU,Klebão,🔀 Split,Protect,,🔀 Split,,27,GdN,Trundle,,,,,,0,,"0,00","2,9",
11/09/2025,1,✅ VITÓRIA,Fiora - Trundle - Syndra - Caitlyn - Nautilus | Shaco - Qiyana - Morgana - MF - Nami,🟥 RED,Klebão,🔀 Split,Pick,,🔪 Pick,,30,Conkreto,Syndra,,,,,,0,,"0,00","2,6",
10/09/2025,2,❌ DERROTA,Rumble - Graves - Syndra - Varus - Leona | Camille - Fiddlesticks - Tristana - Sivir - Nautilus,🟦 BLU,,💥 Engage,Siege,🔴🟡🟢,💥 Engage,🔴🟡🟢,,Conkreto,Syndra,,,,,,#DIV/0!,,"0,00",#DIV/0!,
10/09/2025,1,✅ VITÓRIA,Fiora - Warwick - Hwei - Aphelios - Milio | Nasus - Graves - Xerath - Vayne - Shaco,🟥 RED,Pixek,🔀 Split,Protect,🔴🟡🟢,🔀 Split,🔴🟡🟢,,Conkreto,Hwei,,,,,,#DIV/0!,,"0,00",#DIV/0!,
09/09/2025,4,❌ DERROTA,Fiora - Warwick - Hwei - Yunara - Milio | Yasuo - Gragas - Ekko - Draven - Lulu,🟥 RED,Klebão,🔀 Split,Protect,🔴🟡🟢,🔀 Split,🟡🟡🟡,30,Conkreto,Hwei,,,,,,0,,"0,00","2,6",
09/09/2025,3,✅ VITÓRIA,Volibear - Nocturne - Viktor - Miss Fortune - Seraphine | Garen - Udyr - Diana - Ezreal - Nami,🟥 RED,,🌀 Siege,Split,🟡🟡🟡,🔀 Split,🟡🟡🟡,,GdN,Nocturne,,,,,,#DIV/0!,,"0,00",#DIV/0!,
09/09/2025,2,✅ VITÓRIA,Gnar - Lillia - Hwei - Ashe - Leona | Volibear - Warwick - Yasuo - Miss Fortune - Thresh,🟦 BLU,,💥 Engage,Siege,🟡🟡🟡,🔀 Split,🟢🟡🔴,,GdN,Lillia,,,,,,#DIV/0!,,"0,00",#DIV/0!,
09/09/2025,1,❌ DERROTA,Gangplank - Jarvan IV - Annie - Yunara - Nami | Riven - Xin Zhao - Galio - Vayne - Braum,🟦 BLU,Klebão,🔀 Split,Protect,🔴🟡🟢,🔼 Protect,🟡🟡🟡,37,GdN,J4,,,,,,0,,"0,00","2,1",
