Klebão (T),GdN (J),Conkreto (M),Digo (A),Kelly (S),,Pixek (T),Nunes (T),Eden (S),Xuao (A)
⭐,⭐,⭐,⭐,⭐,,⭐,⭐,⭐,⭐
Irelia,Lee,Viktor,Samira,Nami,,Rumble,K'sante,Thresh,Kai'sa
GP,Lillia,Ahri,Vayne,Zyra,,Ornn,Gragas,Nami,Ezreal
Ornn,Diana,Ziggs,Twitch,Lulu,,Kennen,Gnar,Soraka,Tristana
🟩,🟩,🟩,🟩,🟩,,🟩,🟩,🟩,🟩
Gnar,Elise,Veigar,Jinx,Thresh,,TK,Sylas,Morgana,Ashe
Renekton,Nidalee,Ezreal,MF,Soraka,,Renekton,Jayce,Janna,Jinx
Aatrox,Kha,Malzahar,Jhin,Leona,,Nasus,Jax,Zyra,Varus
Poppy,Shaco,Lux,Xayah,Morgana,,Gnar,Poppy,Leona,Jhin
Mordekaiser,Hecarim,Taliyah,Ashe,Sona,,Jax,Rumble,Lulu,Lucian
K'sante,Pantheon,Jayce,Aphelios,Milio,,Shen,Shen,Seraphine,Caitlyn
🟨,🟨,🟨,🟨,🟨,,🟨,🟨,🟨,🟨
Ambessa,Kayn,Orianna,Tristana,Rakan,,Cho,Maokai,Nautilus,
Pantheon,Rek,Aurelion,Ezreal,Tahm Kench,,Sion,Cho,Renata,
Gragas,Xin,Cassio,Caitlyn,Karma,,Malphite,Sion,Rakan,
Yasuo,Shyvana,Vex,Kai'sa,Braum,,Maokai,,Braum,
Darius,Karthus,Lissandra,Lucian,Rell,,Warwick,,Alistar,
Sylas,J4,Syndra,Sivir,Seraphine,,Riven,,Karma,
Jayce,Nocturne,LB,Corki,Neeko,,Vladmir,,,
Sett,Volibear,Akali,Varus,Janna,,Mordekaiser,,,
Azir,Trundle,Yone,,Rell,,,,,
Yone,Zac,Corki,,,,,,,
Malphite,Wukong,Azir,,,,,,,
Vladmir,Gragas,,,,,,,,
Kennen,Rumble,,,,,,,,
Volibear,Sejuani,,,,,,,,
Rumble,Maokai,,,,,,,,
,Vi,,,,,,,,
,Viego,,,,,,,,
,Ekko,,,,,,,,
,Skarner,,,,,,,,
,Taliyah,,,,,,,,
,Graves,,,,,,,,
,Shen,,,,,,,,
,Ivern,,,,,,,,
,Morgana,,,,,,,,
,Zyra,,,,,,,,
